tenure,MonthlyCharges,TotalCharges,tenure_bin_2-4 years,tenure_bin_4+ years,tenure_bin_New,tenure_bin_nan,Contract_One year_1,Contract_Two year_1,InternetService_Fiber optic_1
-0.9244797287060068,0.35243885950809334,-0.6825333692697545,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.5694299657463027,0.40594550081673053,1.4113256520086885,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.43387454291210986,-1.3363645067957735,-0.7718718259318613,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.1697823216029553,0.9460281615257891,-0.8521437560515267,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.0062472596716563,-1.5069169259670552,-0.9462587242579442,0.0,0.0,1.0,0.0,0.0,1.0,0.0
-1.0062472596716563,-0.694284811092125,-0.8602815164603523,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.9152897180211067,1.0563856092248536,1.3370907017575273,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-0.5565258393605841,0.43604298655283924,-0.3600082726319257,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5064520631928593,0.6851832851461821,0.6880600821949441,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.3650111383321788,0.02972692911537403,0.9118927203963908,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0379410144695809,0.9744535647210025,1.4026792815743114,0.0,1.0,0.0,0.0,0.0,1.0,1.0
-0.8018284322575325,-1.3397086718775635,-0.8729525401403986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5064520631928593,0.3323738690173545,0.4780925955596214,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5882195941585088,1.1416618188104943,1.0476031433011805,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.21066608708578,-0.6842523158467556,-0.958177889639349,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-0.5974096048434088,-0.36154038545403655,-0.5844822017351552,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-1.2924336180514295,-1.5236377513760044,-1.0088619843595343,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-0.43387454291210986,0.7286574312094498,-0.171048591399821,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.710870890606983,-1.493540265639896,-0.5631205806619879,0.0,1.0,0.0,0.0,0.0,1.0,0.0
